,X,ID,ID,Length,R.HD,R.HF,sd_ratio.HF,suckled_ever,suckling_ever,count_HF,fem_R,mal_R,mal_R_x,Ratio,R_sd,P_fem,Pr_F
1,1,GAL2023_001,GAL2023_001,14.64679052,0.707036998,0.403190603,0.005728094,FALSE,FALSE,8,0.302276562,0.389059466,0.382949667,0.403190603,0.005728094,0.00,0.00
2,2,GAL2023_002,GAL2023_002,16.0884476,0.684702908,0.389121716,0.010810649,FALSE,FALSE,3,0.302290767,0.40354272,0.397418716,0.389121716,0.010810649,0.00,0.00
3,3,GAL2023_004,GAL2023_004,15.27616443,0.675158969,0.409035202,0.012255831,FALSE,FALSE,4,0.302284394,0.395383949,0.389266318,0.409035202,0.012255831,0.00,0.00
4,4,GAL2023_006,GAL2023_006,12.59273363,0.677177361,0.353712122,0.010563456,FALSE,FALSE,3,0.302211637,0.368379177,0.362334303,0.353712122,0.010563456,0.00,0.00
5,5,GAL2023_007,GAL2023_007,12.71419329,0.674520868,0.380331108,0.007920962,FALSE,FALSE,3,0.302218305,0.369604865,0.363553323,0.380331108,0.007920962,0.00,0.00
6,6,GAL2023_011,GAL2023_011,10.81154849,0.647968614,0.324054961,0.019526827,TRUE,FALSE,3,0.302020828,0.350311639,0.344457574,0.324054961,0.019526827,0.51,0.51
7,7,GAL2023_012,GAL2023_012,11.92473137,0.659525844,0.307693118,0.014736886,FALSE,FALSE,5,0.302163958,0.361627146,0.355629951,0.307693118,0.014736886,1.00,1.00
8,8,GAL2023_013,GAL2023_013,11.34516628,0.658649194,0.287302174,0.009755719,FALSE,FALSE,6,0.302102196,0.355748624,0.34981319,0.287302174,0.009755719,1.00,1.00
9,9,GAL2023_014,GAL2023_014,10.4248249,0.665089493,0.325212382,0.016310425,FALSE,FALSE,3,0.301941665,0.346351152,0.34057625,0.325212382,0.016310425,0.25,0.25
10,10,GAL2023_015,GAL2023_015,9.373832556,0.645702021,0.328442926,0.022460566,FALSE,FALSE,3,0.301594105,0.335455378,0.330028036,0.328442926,0.022460566,0.05,0.04
11,11,GAL2023_017,GAL2023_017,9.817755659,0.679328835,0.29256522,0.00697166,FALSE,FALSE,3,0.301769836,0.340086514,0.334483441,0.29256522,0.00697166,1.00,1.00
12,12,GAL2023_021,GAL2023_021,11.31810212,0.645992488,0.298642621,0.010406702,FALSE,FALSE,3,0.302098709,0.355473509,0.349541563,0.298642621,0.010406702,1.00,1.00
13,13,GAL2023_023,GAL2023_023,10.11120328,0.647345128,0.309906715,0.037230947,FALSE,FALSE,3,0.301861279,0.343123124,0.337428608,0.309906715,0.037230947,0.97,0.97
14,14,GAL2023_024,GAL2023_024,10.98111057,0.673857242,0.303900436,0.001883634,FALSE,FALSE,3,0.302049777,0.352042385,0.346159372,0.303900436,0.001883634,1.00,1.00
15,15,GAL2023_025,GAL2023_025,10.86498549,0.656087609,0.301066869,0.002814726,FALSE,FALSE,3,0.302030295,0.350857423,0.344993891,0.301066869,0.002814726,1.00,1.00
16,16,GAL2023_026,GAL2023_026,10.40411478,0.657812901,0.287092298,0.011245886,FALSE,FALSE,3,0.301936843,0.346138475,0.340368394,0.287092298,0.011245886,1.00,1.00
17,17,GAL2023_030,GAL2023_030,10.44824625,0.64435052,0.295665978,0.006794297,FALSE,FALSE,3,0.301947042,0.346591595,0.340811317,0.295665978,0.006794297,1.00,1.00
18,18,GAL2023_034,GAL2023_034,10.84696049,0.666043311,0.292296314,0.004313004,FALSE,FALSE,3,0.302027138,0.350673359,0.344812984,0.292296314,0.004313004,1.00,1.00
19,19,GAL2023_036,GAL2023_036,10.47500531,0.647607643,0.309197496,0.006881289,FALSE,FALSE,5,0.301953085,0.346866205,0.341079882,0.309197496,0.006881289,0.99,0.99
20,20,GAL2023_041,GAL2023_041,9.034517334,0.65862451,0.313979262,0.005064394,FALSE,FALSE,3,0.301421549,0.331877307,0.32662252,0.313979262,0.005064394,0.53,0.54
21,21,GAL2023_042,GAL2023_042,6.688631083,0.630095686,0.296540074,0.007981433,FALSE,FALSE,3,0.298340796,0.305252204,0.303078172,0.296540074,0.007981433,0.55,0.55
22,22,GAL2023_044,GAL2023_044,8.25886734,0.644200932,0.28616813,0.004981842,FALSE,FALSE,3,0.300852641,0.323523635,0.318837757,0.28616813,0.004981842,0.98,0.98
23,23,GAL2023_049,GAL2023_049,7.442584097,0.618454144,0.295735905,0.015543179,FALSE,FALSE,3,0.299855349,0.314333765,0.310645179,0.295735905,0.015543179,0.72,0.72
24,24,GAL2023_053,GAL2023_053,11.04649898,0.672987018,0.281333463,0.003373125,FALSE,FALSE,3,0.302060121,0.352708996,0.346815638,0.281333463,0.003373125,1.00,1.00
25,25,GAL2023_054,GAL2023_054,4.191573545,0.656641411,0.285783412,0.017088698,FALSE,TRUE,3,0.283415895,0.283415895,0.283415895,0.285783412,0.017088698,0.50,0.50
26,26,GAL2023_057,GAL2023_057,12.12319325,0.687435139,0.322494009,0.007514641,FALSE,FALSE,3,0.302180326,0.363635362,0.357621799,0.322494009,0.007514641,0.99,0.99
27,27,GAL2023_059,GAL2023_059,10.09258224,0.658485189,0.298557386,0.013493677,FALSE,FALSE,3,0.301855976,0.342930932,0.337241719,0.298557386,0.013493677,1.00,1.00
28,28,GAL2023_064,GAL2023_064,10.80463264,0.64571368,0.290710882,0.013412293,FALSE,FALSE,3,0.302019579,0.350240979,0.344388163,0.290710882,0.013412293,1.00,1.00
29,29,GAL2023_065,GAL2023_065,8.699235231,0.640276865,0.305723533,0.003139546,FALSE,FALSE,3,0.3012098,0.32830052,0.323257483,0.305723533,0.003139546,0.80,0.80
30,30,GAL2023_066,GAL2023_066,11.20248411,0.656756769,0.318684459,0.003018489,FALSE,FALSE,3,0.302083105,0.354297513,0.348381171,0.318684459,0.003018489,0.96,0.96
41,41,Gal2023_067,Gal2023_067,12.50892179,0.651110128,0.298408737,0.001474295,TRUE,FALSE,3,0.30220672,0.36753309,0.361493132,0.298408737,0.001474295,1.00,1.00
42,42,Gal2023_069,Gal2023_069,10.35968582,0.644682524,0.297467078,0.006018486,FALSE,FALSE,3,0.301926279,0.345682002,0.339922486,0.297467078,0.006018486,1.00,1.00
43,43,Gal2023_070,Gal2023_070,9.975655468,0.655928818,0.310937928,0.012248023,FALSE,FALSE,3,0.301821182,0.34172261,0.336068192,0.310937928,0.012248023,0.94,0.94
44,44,Gal2023_071,Gal2023_071,4.40544688,0.63390254,0.273707938,0.014419236,FALSE,FALSE,3,0.285719759,0.285719759,0.285719759,0.273707938,0.014419236,0.50,0.50
51,51,gal2023_073,gal2023_073,12.41168806,0.654215023,0.30845908,0.001003705,FALSE,FALSE,3,0.302200673,0.366551164,0.360517254,0.30845908,0.001003705,1.00,1.00
45,45,Gal2023_074,Gal2023_074,10.78887392,0.682051696,0.300832262,0.00443613,TRUE,FALSE,3,0.302016711,0.35007995,0.344230002,0.300832262,0.00443613,1.00,1.00
46,46,Gal2023_075,Gal2023_075,8.900351235,0.689646009,0.310908223,0.009388562,TRUE,FALSE,3,0.301342242,0.33045145,0.325275971,0.310908223,0.009388562,0.65,0.65
47,47,Gal2023_076,Gal2023_076,9.884222646,0.642342423,0.310596194,0.003812902,TRUE,FALSE,3,0.301792088,0.340775857,0.335150532,0.310596194,0.003812902,0.93,0.93
48,48,Gal2023_077,Gal2023_077,11.23096518,0.674015996,0.306685001,0.004452703,FALSE,FALSE,3,0.302087058,0.354587314,0.348667019,0.306685001,0.004452703,1.00,1.00
49,49,Gal2023_078,Gal2023_078,5.451035846,0.61496054,0.31194119,0.010032147,FALSE,FALSE,3,0.293630065,0.293630065,0.293630065,0.31194119,0.010032147,0.50,0.50
50,50,Gal2023_079,Gal2023_079,11.00954543,0.640907453,0.292216408,0.009930003,FALSE,FALSE,3,0.302054329,0.352332322,0.346444756,0.292216408,0.009930003,1.00,1.00
31,31,GAL2023_080,GAL2023_080,10.65314007,0.660180403,0.29713886,0.005323625,FALSE,FALSE,3,0.301990768,0.348691724,0.342867719,0.29713886,0.005323625,1.00,1.00
32,32,GAL2023_081,GAL2023_081,15.65549595,0.699700518,0.384576607,0.010027899,FALSE,FALSE,3,0.302287786,0.399194464,0.393073441,0.384576607,0.010027899,0.00,0.00
