"","ID","Length","sd.R.HD","R.HD","sd.R.HF","R.HF","suckled_ever","suckling_ever","n_photos"
"1","GAL2023_001",14.646790522102,0.0114424258562112,0.70703699751778,0.00572809427642523,0.40319060260996,FALSE,FALSE,8
"2","GAL2023_002",16.0884475964517,0.0227056578192185,0.684702908072854,0.0108106492297924,0.389121715869436,FALSE,FALSE,3
"3","GAL2023_004",15.1926108772264,0.00906301157084757,0.673060257755745,0.0122558306965534,0.409035201599555,FALSE,FALSE,4
"4","GAL2023_006",12.5927336304969,0.0126920524257379,0.677177360784413,0.0105634563626331,0.353712122204239,FALSE,FALSE,3
"5","GAL2023_007",12.8761013957851,0.00917691047492691,0.686791777279921,0.0079209620630836,0.380331108287711,FALSE,FALSE,3
"6","GAL2023_011",10.8115484943181,0.00632384982618764,0.647968613735467,0.0195268271721004,0.32405496091568,TRUE,FALSE,3
"7","GAL2023_012",11.9517751732122,0.00278016997123459,0.659566451938326,0.0147368861625404,0.307693118248545,FALSE,FALSE,5
"8","GAL2023_013",11.3451662805743,0.00628203048090152,0.658649194122183,0.00975571913487852,0.287302173602066,FALSE,FALSE,6
"9","GAL2023_014",10.4248249012456,0.0249014974431387,0.665089492993029,0.0163104253496139,0.325212382009501,FALSE,FALSE,3
"10","GAL2023_015",9.36294276306507,0.00237147579448806,0.651130110779066,0.0224605659085725,0.328442926298458,FALSE,FALSE,3
"11","GAL2023_017",9.81775565882667,0.0118303230321534,0.679328835082476,0.00697166000240677,0.292565220200279,FALSE,FALSE,3
"12","GAL2023_021",11.3181021212227,0.00536806714232799,0.645992487508932,0.0104067017945002,0.298642620695281,FALSE,FALSE,3
"13","GAL2023_023",10.1112032812269,0.00367099973135298,0.647345127527099,0.0372309467844508,0.309906715347197,FALSE,FALSE,3
"14","GAL2023_024",10.9811105662136,0.0165545109363025,0.6738572422087,0.00188363432835907,0.303900435677573,FALSE,FALSE,3
"15","GAL2023_025",10.8509428973635,0.0109595305522425,0.662077312160409,0.00281472614593849,0.301066868733208,FALSE,FALSE,3
"16","GAL2023_026",10.3699372888808,0.00929101647839493,0.663849777330943,0.0112458856457743,0.287092298456718,FALSE,FALSE,3
"17","GAL2023_030",10.4482462538112,0.00739047164537375,0.644350520364992,0.00679429719629032,0.295665977816863,FALSE,FALSE,3
"18","GAL2023_034",10.8469604904584,0.0181053562154138,0.666043310674143,0.00431300390560493,0.292296313997459,FALSE,FALSE,3
"19","GAL2023_036",10.5130591672205,0.0077620077958408,0.65680016592307,0.00688128943447824,0.3091974964666,FALSE,FALSE,5
"20","GAL2023_041",9.0345173339068,0.0100252109360035,0.658624510165374,0.00506439386427903,0.313979261831231,FALSE,FALSE,3
"21","GAL2023_042",6.6886310832868,0.00618404367661522,0.630095685556084,0.00798143268154165,0.296540073520403,FALSE,FALSE,3
"22","GAL2023_044",8.25886734023147,0.0243699983071342,0.644200932219954,0.00498184166212892,0.286168130103634,FALSE,FALSE,3
"23","GAL2023_049",7.43338275024533,0.00695720667574302,0.615542081571001,0.0155431788609627,0.295735905054379,FALSE,FALSE,3
"24","GAL2023_053",11.0464989805093,0.00910103524025194,0.672987018041234,0.00337312487011115,0.281333463443346,FALSE,FALSE,3
"25","GAL2023_054",4.08325007996773,0.0406928081664006,0.666476097244416,0.0170886978700358,0.285783412489326,FALSE,TRUE,3
"26","GAL2023_057",12.1231932474019,0.00550652236223756,0.68743513862559,0.00751464101977947,0.322494008863014,FALSE,FALSE,3
"27","GAL2023_059",10.0925822433637,0.010408715144529,0.658485189102398,0.0134936768400857,0.298557386403189,FALSE,FALSE,3
"28","GAL2023_064",10.8046326365675,0.00614744032236647,0.645713679526794,0.0134122932317299,0.290710882061885,FALSE,FALSE,3
"29","GAL2023_065",8.69923523106093,0.0120634622499979,0.640276864587028,0.00313954577664243,0.305723532500552,FALSE,FALSE,3
"30","GAL2023_066",11.2331886653937,0.00355667791165017,0.651314108398412,0.00301848918620853,0.318684458836472,FALSE,FALSE,3
"31","GAL2023_080",10.6531400705297,0.00518403183903836,0.660180403186931,0.00532362495786315,0.297138859759308,FALSE,FALSE,3
"32","GAL2023_081",15.6554959505243,0.0116827254620245,0.699700518450195,0.0100278994777361,0.384576606693314,FALSE,FALSE,3
"33","GAL2023_084",11.1047348931779,0.0101533612825328,0.664515688411122,0.00579559080456455,0.302120034935616,TRUE,FALSE,3
"34","GAL2023_085",10.3439342230319,0.00909002201581822,0.652097341359452,0.0161598583656389,0.309151415811707,FALSE,FALSE,3
"35","GAL2023_086",11.7974099224113,0.00485670592527792,0.647150136609199,0.00421922128173442,0.290569484369983,TRUE,FALSE,3
"36","GAL2023_087",11.6571024751787,0.00302649229910381,0.660245450607637,0.00191176534610508,0.296473543262954,FALSE,FALSE,3
"37","GAL2023_088",10.4938419193971,0.0129674129562275,0.630002430917872,0.00284094377569071,0.297838883153972,FALSE,FALSE,3
"38","GAL2023_089",10.0864329435016,0.0210092898439984,0.664392289148657,0.0122183407787733,0.334823680738693,FALSE,FALSE,3
"39","GAL2023_090",11.3264480282671,0.00201163693536524,0.666965369503753,0.0032903359818839,0.312347967561777,FALSE,FALSE,3
"40","GAL2023_093",7.08906650743864,0.0134723134226457,0.654471556676222,0.0180887363561086,0.315773410863326,FALSE,TRUE,5
"41","Gal2023_067",12.5089217895695,0.00486321125657897,0.651110128482327,0.0014742951164832,0.298408737432019,TRUE,FALSE,3
"42","Gal2023_069",10.3596858227481,0.00959280580726103,0.644682524161367,0.00601848642598107,0.29746707825588,FALSE,FALSE,3
"43","Gal2023_070",9.97565546826707,0.0219788899739967,0.655928817913158,0.0122480230856222,0.310937928382576,FALSE,FALSE,3
"44","Gal2023_071",4.40544687992187,0.0242674145652652,0.633902540128149,0.01441923615574,0.273707938216292,FALSE,FALSE,3
"45","Gal2023_074",10.7888739236956,0.0141975708511147,0.682051696253434,0.00443612984176109,0.30083226249671,TRUE,FALSE,3
"46","Gal2023_075",8.90035123450973,0.00526419748361788,0.689646009091723,0.00938856230051303,0.310908222872953,TRUE,FALSE,3
"47","Gal2023_076",9.88422264598013,0.0451225511320499,0.642342422935039,0.00381290174697646,0.310596193509862,TRUE,FALSE,3
"48","Gal2023_077",11.2309651793768,0.0108192192520585,0.674015995882635,0.00445270270749747,0.306685001141019,FALSE,FALSE,3
"49","Gal2023_078",5.451035845964,0.0153543372018044,0.614960539991306,0.0100321470565272,0.311941190371405,FALSE,FALSE,3
"50","Gal2023_079",11.0095454257572,0.0164819369949942,0.640907453327247,0.00993000274963961,0.292216408324646,FALSE,FALSE,3
"51","gal2023_073",12.411688058098,0.00783451318163867,0.654215023313691,0.00100370519524062,0.308459080397991,FALSE,FALSE,3
