"","ID","mean_TL","cv_TL","sd_TL","mean_HD","cv_HD","sd_HD","mean_HF","cv_HF","sd_HF","mean_ratio.HD","cv_ratio.HD","sd_ratio.HD","mean_ratio.HF","cv_ratio.HF","sd_ratio.HF","n_photos","n_HF","n_HD","date","mean_altitude","suckled_ever","suckling_ever"
"1"," GAL2023_083",16.1858200454536,NA,NA,10.8022559951872,NA,NA,6.4594629212972,NA,NA,0.667390096074954,NA,NA,0.399081597543869,NA,NA,1,1,1,"20230429",65.303195,FALSE,FALSE
"2","GAL2023_001",14.646790522102,1.96902764499226,0.288399354484294,10.3557892305719,2.52427315339567,0.261408407369566,5.9055215995358,2.48036039620287,0.261408407369566,0.70703699751778,1.61836309788346,0.011442425856211,0.40319060260996,1.42069141476657,0.0057280942764253,8,8,8,"20230201",29.7463325,FALSE,FALSE
"3","GAL2023_002",16.0884475964517,1.65551332602724,0.266346393910167,11.019241238384,4.77383751261981,0.526040671844047,6.26161515595973,4.02920715088318,0.526040671844047,0.684702908072854,3.31613281490583,0.0227056578192184,0.389121715869436,2.77821791714635,0.010810649229792,3,3,3,"20230201",36.827195,FALSE,FALSE
"4","GAL2023_003",15.636953577978,2.38672583591629,0.373211210995838,10.79371944344,2.36454867323877,0.255222749892975,NA,NA,0.255222749892975,0.690271795191222,0.022183422317342,0.000153125907464767,NA,NA,NA,2,0,2,"20230208",31.182845,FALSE,FALSE
"5","GAL2023_004",15.2761644346905,2.01963572796185,0.308522874785211,10.3133664926428,2.26702570668784,0.233806669613143,6.2141964820632,3.32581566441817,0.233806669613143,0.67515896882672,1.50194247443511,0.0101404993227666,0.409035201599555,2.99627774055288,0.0122558306965531,6,4,6,"20230403",35.555945,FALSE,FALSE
"6","GAL2023_006",12.5927336304969,0.785116918215747,0.0988676821988755,8.5266778193228,1.08420234555671,0.0924464409151619,4.4547957155088,3.66437766134925,0.0924464409151619,0.677177360784413,1.87425823140866,0.0126920524257378,0.353712122204239,2.98645584912509,0.010563456362633,3,3,3,"20230405",21.843395,FALSE,FALSE
"7","GAL2023_007",12.7141932923157,1.97429065926127,0.251015130570611,8.5774968605574,3.74220655128442,0.320987649451995,4.8985730194708,4.16125986151856,0.320987649451995,0.674520867774736,2.46173375636475,0.0166049078957351,0.380331108287711,2.08264901042269,0.00792096206308367,6,3,6,"20230405",28.928495,FALSE,FALSE
"8","GAL2023_008",13.0358368121528,1.96269723252781,0.255854008348964,9.23210417878667,0.992762442061528,0.0916528628989869,NA,NA,0.0916528628989869,0.708390364016721,2.19955527170287,0.0155814375959649,NA,NA,NA,3,0,3,"20230405",23.741795,FALSE,FALSE
"9","GAL2023_009",10.3637085779117,1.97229712361789,0.204403126182293,6.67233765080933,2.57701305807393,0.17194701254014,3.205136707476,NA,0.17194701254014,0.643807862309277,1.53121595017328,0.00985808867614928,0.303898786470436,NA,NA,3,1,3,"20230215",24.589295,FALSE,FALSE
"10","GAL2023_010",10.6119110806808,2.49602105465809,0.264875534875388,6.8467076753136,3.94247216524036,0.269929544334614,NA,NA,0.269929544334614,0.645074320724125,1.44716315056341,0.00933527786326676,NA,NA,NA,2,0,2,"20230215",38.962895,FALSE,FALSE
