ID,Length,R.HD,R.HF,suckled_ever,suckling_ever,fem_prob_hf,Pr_F_Hal,difference
GAL2023_001,14.65,0.71,0.40,FALSE,FALSE,0.00,0.00,0.00
GAL2023_002,16.09,0.68,0.39,FALSE,FALSE,0.00,0.00,0.00
GAL2023_004,15.19,0.67,0.41,FALSE,FALSE,0.00,0.00,0.00
GAL2023_006,12.59,0.68,0.35,FALSE,FALSE,0.03,0.00,-0.03
GAL2023_007,12.88,0.69,0.38,FALSE,FALSE,0.00,0.00,0.00
GAL2023_011,10.81,0.65,0.32,TRUE,FALSE,0.00,0.51,0.50
GAL2023_012,11.95,0.66,0.31,FALSE,FALSE,0.99,1.00,0.01
GAL2023_013,11.35,0.66,0.29,FALSE,FALSE,1.00,1.00,0.00
GAL2023_014,10.42,0.67,0.33,FALSE,FALSE,0.97,0.25,-0.72
GAL2023_015,9.36,0.65,0.33,FALSE,FALSE,0.00,0.04,0.04
GAL2023_017,9.82,0.68,0.29,FALSE,FALSE,0.99,1.00,0.01
GAL2023_021,11.32,0.65,0.30,FALSE,FALSE,1.00,1.00,0.00
GAL2023_023,10.11,0.65,0.31,FALSE,FALSE,0.00,0.97,0.97
GAL2023_024,10.98,0.67,0.30,FALSE,FALSE,1.00,1.00,0.00
GAL2023_025,10.85,0.66,0.30,FALSE,FALSE,1.00,1.00,0.00
GAL2023_026,10.37,0.66,0.29,FALSE,FALSE,1.00,1.00,0.00
GAL2023_030,10.45,0.64,0.30,FALSE,FALSE,1.00,1.00,0.00
GAL2023_034,10.85,0.67,0.29,FALSE,FALSE,1.00,1.00,0.00
GAL2023_036,10.51,0.66,0.31,FALSE,FALSE,0.99,0.99,0.00
GAL2023_041,9.03,0.66,0.31,FALSE,FALSE,0.82,0.54,-0.28
GAL2023_042,6.69,0.63,0.30,FALSE,FALSE,0.55,0.55,0.00
GAL2023_044,8.26,0.64,0.29,FALSE,FALSE,0.89,0.98,0.09
GAL2023_049,7.43,0.62,0.30,FALSE,FALSE,0.95,0.72,-0.22
GAL2023_053,11.05,0.67,0.28,FALSE,FALSE,1.00,1.00,0.00
GAL2023_054,4.08,0.67,0.29,FALSE,TRUE,0.50,0.50,0.00
GAL2023_057,12.12,0.69,0.32,FALSE,FALSE,1.00,0.99,-0.01
GAL2023_059,10.09,0.66,0.30,FALSE,FALSE,1.00,1.00,0.00
GAL2023_064,10.80,0.65,0.29,FALSE,FALSE,1.00,1.00,0.00
GAL2023_065,8.70,0.64,0.31,FALSE,FALSE,0.70,0.80,0.10
GAL2023_066,11.23,0.65,0.32,FALSE,FALSE,0.84,0.96,0.12
GAL2023_080,10.65,0.66,0.30,FALSE,FALSE,1.00,1.00,0.00
GAL2023_081,15.66,0.70,0.38,FALSE,FALSE,0.00,0.00,0.00
GAL2023_084,11.10,0.66,0.30,TRUE,FALSE,1.00,1.00,0.00
GAL2023_085,10.34,0.65,0.31,FALSE,FALSE,0.61,0.99,0.37
GAL2023_086,11.80,0.65,0.29,TRUE,FALSE,1.00,1.00,0.00
GAL2023_087,11.66,0.66,0.30,FALSE,FALSE,1.00,1.00,0.00
GAL2023_088,10.49,0.63,0.30,FALSE,FALSE,1.00,1.00,0.00
GAL2023_089,10.09,0.66,0.33,FALSE,FALSE,0.00,0.01,0.01
GAL2023_090,11.33,0.67,0.31,FALSE,FALSE,0.99,1.00,0.00
GAL2023_093,7.09,0.65,0.32,FALSE,TRUE,0.16,0.29,0.13
Gal2023_067,12.51,0.65,0.30,TRUE,FALSE,1.00,1.00,0.00
Gal2023_069,10.36,0.64,0.30,FALSE,FALSE,1.00,1.00,0.00
Gal2023_070,9.98,0.66,0.31,FALSE,FALSE,0.97,0.94,-0.03
Gal2023_071,4.41,0.63,0.27,FALSE,FALSE,0.50,0.50,0.00
Gal2023_074,10.79,0.68,0.30,TRUE,FALSE,1.00,1.00,0.00
Gal2023_075,8.90,0.69,0.31,TRUE,FALSE,0.74,0.65,-0.09
Gal2023_076,9.88,0.64,0.31,TRUE,FALSE,0.97,0.93,-0.04
Gal2023_077,11.23,0.67,0.31,FALSE,FALSE,1.00,1.00,0.00
Gal2023_078,5.45,0.61,0.31,FALSE,FALSE,0.50,0.50,0.00
Gal2023_079,11.01,0.64,0.29,FALSE,FALSE,1.00,1.00,0.00
gal2023_073,12.41,0.65,0.31,FALSE,FALSE,1.00,1.00,0.00
