,textfile,imageName,imagePath,altitude.raw,ind,TL.px,HF.px,HD.px,notes
1,Gal2023_DJIMini2_20230201_130107.MP4_00_03_55.csv,Gal2023_DJIMini2_20230201_130107.MP4_00_03_55_vlc00001.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_130107.MP4_00_03_55_vlc00001.png,27.2,1,709.13,281.81,514.13,male
2,Gal2023_DJIMini2_20230201_130107_120.120.png.csv,Gal2023_DJIMini2_20230201_130107_120.120.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_130107/Gal2023_DJIMini2_20230201_130107_120.120.png,28.9,1,669.83,273.56,460.86,
3,Gal2023_DJIMini2_20230201_130107_174.541.png.csv,Gal2023_DJIMini2_20230201_130107_174.541.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_130107/Gal2023_DJIMini2_20230201_130107_174.541.png,24.1,1,819.15,329.29,577.31,
4,Gal2023_DJIMini2_20230201_135502.MP4_00_03_26.csv,Gal2023_DJIMini2_20230201_135502.MP4_00_03_26_vlc00002.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_135502.MP4_00_03_26_vlc00002.png,24.3,1,786.94,326.22,566.95,male
5,Gal2023_DJIMini2_20230201_135502_244.377.png.csv,Gal2023_DJIMini2_20230201_135502_244.377.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_135502/ind1/Gal2023_DJIMini2_20230201_135502_244.377.png,24.1,1,811.11,325.46,568.59,
6,Gal2023_DJIMini2_20230201_135502_330.497.png.csv,Gal2023_DJIMini2_20230201_135502_330.497.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_135502/ind1/Gal2023_DJIMini2_20230201_135502_330.497.png,28.3,1,676.18,269.8,477.97,
7,Gal2023_DJIMini2_20230201_154208.MP4_00_00_49.csv,Gal2023_DJIMini2_20230201_154208.MP4_00_00_49_vlc00003.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_154208.MP4_00_00_49_vlc00003.png,24,1,787.66,314.33,556.29,male
8,Gal2023_DJIMini2_20230201_154208_61.929.png.csv,Gal2023_DJIMini2_20230201_154208_61.929.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_154208/ind1/Gal2023_DJIMini2_20230201_154208_61.929.png,24.1,1,774.4,312.75,545.11,
9,Gal2023_DJIMini2_20230201_182219.MP4_00_03_28.csv,Gal2023_DJIMini2_20230201_182219.MP4_00_03_28_vlc00001.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_182219.MP4_00_03_28_vlc00001.png,32,1,678.53,271,475.45,male
10,Gal2023_DJIMini2_20230201_182219_235.802.png.csv,Gal2023_DJIMini2_20230201_182219_235.802.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_182219/Gal2023_DJIMini2_20230201_182219_235.802.png,31.6,1,672.9,254.25,443.25,
11,Gal2023_DJIMini2_20230201_182219_67.568.png.csv,Gal2023_DJIMini2_20230201_182219_67.568.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_182219/Gal2023_DJIMini2_20230201_182219_67.568.png,34.2,1,647.63,252.66,449.9,
