,file_name,ind,altitude.raw,TL.px,HF.px,HD.px,image_width,notes,image_path
1,Gal2023_DJIMini2_20230201_130107.MP4_00_03_55_vlc00001.png,1,27.2,709.13,281.81,514.13,1920,male,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_130107/ind1/Gal2023_DJIMini2_20230201_130107.MP4_00_03_55_vlc00001.png
2,Gal2023_DJIMini2_20230201_130107_120.120.png,1,28.9,669.83,273.56,460.86,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_130107/Gal2023_DJIMini2_20230201_130107_120.120.png
3,Gal2023_DJIMini2_20230201_130107_174.541.png,1,24.1,819.15,329.29,577.31,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_130107/Gal2023_DJIMini2_20230201_130107_174.541.png
4,Gal2023_DJIMini2_20230201_135502.MP4_00_03_26_vlc00002.png,1,24.3,786.94,326.22,566.95,1920,male,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_135502/ind1/Gal2023_DJIMini2_20230201_135502.MP4_00_03_26_vlc00002.png
5,Gal2023_DJIMini2_20230201_135502_244.377.png,1,24.1,811.11,325.46,568.59,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_135502/ind1/Gal2023_DJIMini2_20230201_135502_244.377.png
6,Gal2023_DJIMini2_20230201_135502_330.497.png,1,28.3,676.18,269.8,477.97,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_135502/ind1/Gal2023_DJIMini2_20230201_135502_330.497.png
7,Gal2023_DJIMini2_20230201_154208.MP4_00_00_49_vlc00003.png,1,24,787.66,314.33,556.29,1920,male,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_154208/ind1/Gal2023_DJIMini2_20230201_154208.MP4_00_00_49_vlc00003.png
8,Gal2023_DJIMini2_20230201_154208_61.929.png,1,24.1,774.4,312.75,545.11,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_154208/ind1/Gal2023_DJIMini2_20230201_154208_61.929.png
9,Gal2023_DJIMini2_20230201_182219.MP4_00_03_28_vlc00001.png,1,32,678.53,271,475.45,1920,male,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_182219/ind1/Gal2023_DJIMini2_20230201_182219.MP4_00_03_28_vlc00001.png
10,Gal2023_DJIMini2_20230201_182219_235.802.png,1,31.6,672.9,254.25,443.25,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_182219/Gal2023_DJIMini2_20230201_182219_235.802.png
11,Gal2023_DJIMini2_20230201_182219_67.568.png,1,34.2,647.63,252.66,449.9,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230201/Gal2023_DJIMini2_20230201_182219/Gal2023_DJIMini2_20230201_182219_67.568.png
12,Gal2023_DJIMini2_20230208_084058_112.779.png,1,27.5,740.65,NA,511.33,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230208/Gal2023_DJIMini2_20230208_084058_112.779.png
13,Gal2023_DJIMini2_20230208_084058_138.005.png,1,26.6,788.9,NA,544.47,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230208/Gal2023_DJIMini2_20230208_084058_138.005.png
14,Gal2023_DJIMini2_20230215_093319.MP4_00_01_39_vlc00002.png,1,23.6,580.95,176.55,370.24,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_093319/Gal2023_DJIMini2_20230215_093319.MP4_00_01_39_vlc00002.png
15,Gal2023_DJIMini2_20230215_093319_107.574.png,1,20.5,646.6,NA,423.62,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_093319/Gal2023_DJIMini2_20230215_093319_107.574.png
16,Gal2023_DJIMini2_20230215_093319_150.984.png,1,17.6,716.76,NA,457.99,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_093319/Gal2023_DJIMini2_20230215_093319_150.984.png
17,Gal2023_DJIMini2_20230215_094557.MP4_00_02_04_vlc00005.png,1,28.3,503.8,156.05,326.85,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_094557/Gal2023_DJIMini2_20230215_094557.MP4_00_02_04_vlc00005.png
18,Gal2023_DJIMini2_20230215_094557_135.335.png,1,22.4,587.9,203.59,377.01,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_094557/Gal2023_DJIMini2_20230215_094557_135.335.png
19,Gal2023_DJIMini2_20230215_094557_70.938.png,1,28.2,542.17,171.39,354.5,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_094557/Gal2023_DJIMini2_20230215_094557_70.938.png
20,Gal2023_DJIMini2_20230215_094557.MP4_00_02_04_vlc00005.png,2,28.3,340.65,98.11,212.63,1920,cj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_094557/Gal2023_DJIMini2_20230215_094557.MP4_00_02_04_vlc00005.png
21,Gal2023_DJIMini2_20230215_094557_155.355.png,2,16.6,535.35,NA,342.9,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_094557/Gal2023_DJIMini2_20230215_094557_155.355.png
22,Gal2023_DJIMini2_20230215_094557_249.516.png,2,17,555.97,152.8,363.13,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_094557/Gal2023_DJIMini2_20230215_094557_249.516.png
